episode,timestep,reward
1,1000,-42002.8323
3,2000,-41116.8695
5,3000,-42018.2054
7,4000,-40330.955
9,5000,-39947.4948
11,6000,-39295.9676
13,7000,-39951.6424
15,8000,-40003.3135
17,9000,-41112.7139
19,10000,-40286.35
21,11000,-34509.0963
23,12000,-36706.9921
25,13000,-38290.5702
27,14000,-33147.0082
29,15000,-38661.6162
31,16000,-36189.5222
33,17000,-40906.1835
35,18000,-40422.9949
37,19000,-35893.5683
39,20000,-33682.4234
41,21000,-39436.498
43,22000,-37517.7601
45,23000,-24851.0119
47,24000,-40804.6193
49,25000,-40077.8821
51,26000,-39273.1702
53,27000,-37478.6986
55,28000,-36556.503
57,29000,-40299.942
59,30000,-37636.3266
61,31000,-36554.6075
63,32000,-40107.0368
65,33000,-32532.2393
67,34000,-36085.365
69,35000,-36199.9676
71,36000,-36701.9406
73,37000,-39525.7993
75,38000,-33872.2846
77,39000,-34183.3475
79,40000,-36152.1277
81,41000,-40285.8186
83,42000,-40365.4444
85,43000,-35488.3286
87,44000,-24271.2869
89,45000,-41520.8244
91,46000,-38612.2928
93,47000,-30743.8012
95,48000,-32105.1709
97,49000,-34854.689
99,50000,-31948.1377
101,51000,-39261.9718
103,52000,-39470.5976
105,53000,-41121.9091
107,54000,-38994.2018
109,55000,-29991.1563
111,56000,-34777.652
113,57000,-41307.8087
115,58000,-36334.9143
117,59000,-39007.4657
119,60000,-40764.4023
121,61000,-37400.3032
123,62000,-34060.6991
125,63000,-33777.8982
127,64000,-30932.4435
129,65000,-35251.3956
131,66000,-36658.1943
133,67000,-40402.8848
135,68000,-28250.2282
137,69000,-37635.9275
139,70000,-40127.442
141,71000,-40291.276
143,72000,-40068.8359
145,73000,-39302.6073
147,74000,-37917.1332
149,75000,-38467.7248
151,76000,-41446.0357
153,77000,-36188.3639
155,78000,-40788.2806
157,79000,-39476.9143
159,80000,-42251.6281
161,81000,-37791.5293
163,82000,-41188.3729
165,83000,-35261.3823
167,84000,-37643.2664
169,85000,-40563.1282
171,86000,-37029.3791
173,87000,-39121.289
175,88000,-36403.7903
177,89000,-38094.9395
179,90000,-39318.6554
181,91000,-39325.7789
183,92000,-35681.1109
185,93000,-37680.2159
187,94000,-40838.3867
189,95000,-37660.7266
191,96000,-36238.298
193,97000,-37993.2279
195,98000,-38463.8617
197,99000,-34850.3656
199,100000,-38297.6289
201,101000,-31652.6695
203,102000,-29108.3734
205,103000,-27011.1522
207,104000,-39327.5934
209,105000,-24378.3724
211,106000,-35345.518
213,107000,-36370.9775
215,108000,-35122.4042
217,109000,-38277.3079
219,110000,-40714.7728
221,111000,-37881.1875
223,112000,-27462.4743
225,113000,-36142.4587
227,114000,-27738.3256
229,115000,-30123.7204
231,116000,-32307.5673
233,117000,-34193.1837
235,118000,-36946.9187
237,119000,-31846.2485
239,120000,-30928.2736
241,121000,-28747.0603
243,122000,-32264.5909
245,123000,-33289.5845
247,124000,-29946.6469
249,125000,-32312.5105
251,126000,-35583.2769
253,127000,-27202.4835
255,128000,-26428.503
257,129000,-24477.9412
259,130000,-30489.8159
261,131000,-35094.4637
263,132000,-26526.0904
265,133000,-32872.2787
267,134000,-27255.5719
269,135000,-36135.7456
271,136000,-31124.2213
273,137000,-30011.6504
275,138000,-29791.8455
277,139000,-37076.389
279,140000,-31799.1858
281,141000,-30793.5777
283,142000,-35652.671
285,143000,-36573.4195
287,144000,-36088.6766
289,145000,-36770.0064
291,146000,-36333.7422
293,147000,-36094.6376
295,148000,-34446.7616
297,149000,-32292.3585
299,150000,-35499.6237
301,151000,-37990.4249
303,152000,-36578.9873
305,153000,-37504.7563
307,154000,-29670.7981
309,155000,-37160.8114
311,156000,-37571.9409
313,157000,-34195.6312
315,158000,-31970.4018
317,159000,-32910.4801
319,160000,-38096.7476
321,161000,-26474.5415
323,162000,-35431.8733
325,163000,-30609.327
327,164000,-26086.7556
329,165000,-31556.2217
331,166000,-29708.4336
333,167000,-34389.805
335,168000,-35229.3429
337,169000,-35138.6562
339,170000,-32795.9607
341,171000,-31568.8256
343,172000,-32519.0345
345,173000,-29149.0847
347,174000,-30181.2967
349,175000,-35520.0108
351,176000,-33282.5529
353,177000,-37321.5905
355,178000,-32735.5567
357,179000,-36493.1895
359,180000,-32146.4194
361,181000,-33517.5747
363,182000,-35182.9777
365,183000,-33523.117
367,184000,-36079.8802
369,185000,-32519.4402
371,186000,-35548.9745
373,187000,-32789.5005
375,188000,-36803.9926
377,189000,-32589.0958
379,190000,-32805.2415
381,191000,-29730.7671
383,192000,-29422.9199
385,193000,-32148.9206
387,194000,-34568.4235
389,195000,-34241.036
391,196000,-23823.2892
393,197000,-31849.8306
395,198000,-27542.8052
397,199000,-33438.7279
399,200000,-33482.7078
401,201000,-31035.2661
403,202000,-32316.5819
405,203000,-28429.1664
407,204000,-27253.3868
409,205000,-23101.3726
411,206000,-22928.5408
413,207000,-33775.3425
415,208000,-29216.8433
417,209000,-27551.6557
419,210000,-27648.0839
421,211000,-32099.4986
423,212000,-35143.338
425,213000,-22923.551
427,214000,-32263.2328
429,215000,-27113.1285
431,216000,-30569.7561
433,217000,-30357.6586
435,218000,-22842.2315
437,219000,-30682.1213
439,220000,-30721.2581
441,221000,-31163.8838
443,222000,-30713.9955
445,223000,-29609.4479
447,224000,-34974.4226
449,225000,-29917.6089
451,226000,-32349.2589
453,227000,-29705.5025
455,228000,-22889.5713
457,229000,-24740.7351
459,230000,-18746.4497
461,231000,-36841.557
463,232000,-35428.0103
465,233000,-36711.8129
467,234000,-35534.7809
469,235000,-39498.0294
471,236000,-34337.6458
473,237000,-34409.8616
475,238000,-34497.7442
477,239000,-33027.2648
479,240000,-28506.2608
481,241000,-37154.2892
483,242000,-30676.8281
485,243000,-27555.8699
487,244000,-26564.5401
